state,urban,rural,total
Andaman and Nicobar Islands,38,38.3,38.2
Andhra Pradesh,44.4,28,33.5
Arunachal Pradesh,26,18.4,20.6
Assam,24.8,10.5,12.9
Bihar,20.1,10.9,12.6
Chandigarh,0,0,32
Chhattisgarh,20,6.8,10.2
Dadra and Nagar Haveli,33.8,11.5,22.9
Daman and Diu,29.7,34.2,30.7
Delhi,24.1,0,24.6
Goa,35.3,28.2,32.6
Gujarat,25.9,14.4,19.7
Haryana,21,19.3,20
Himachal Pradesh,26.9,21,22
Jammu and Kashmir,30.1,15.8,20.5
Jharkhand,19.8,7.5,11.1
Karnataka,28.6,17.1,22.1
Kerala,31.1,26.3,28.5
Lakshadweep,24.7,22.2,24.6
Madhya Pradesh,17.6,7.8,10.9
Maharashtra,31.2,16.4,23.8
Manipur,21.8,18.5,19.8
Meghalaya,17.1,8.1,10.1
Mizoram,28.1,9.9,21
Nagaland,16.6,12.3,14
Odisha,32.4,13.3,17.2
Puducherry,40.5,30.8,37.1
Punjab,32.1,25,27.8
Rajasthan,19.7,10.6,13.2
Sikkim,41.5,29.7,34.8
Tamil Nadu,30.6,25.6,28.2
Telangana,31.9,17.9,24.2
Tripura,18.2,14.9,15.9
Uttar Pradesh,20.6,9,12.5
Uttarakhand,23,14.1,17.7
West Bengal,20.7,11.2,14.2
