Row Labels,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114
Manipur,81.7,29.9,1049,962,64.8,92.4,41.6,49.9,42.1,99.5,3.6,85,96,45.9,13.1,20.6,2.6,7.4,22,26,23.6,12.7,3.1,0.1,3.7,4.2,1.3,30.1,12.7,8.7,46.9,77,69,88.8,39.2,33.9,32.8,64.6,26.2,10076,0.4,10.7,69.1,45.7,8,77.2,21.1,46.2,22.6,65.9,91.2,76.6,77.8,74.2,69.9,32.1,92.9,6.1,5.8,60.2,14.1,31.2,1.7,39.1,65.4,73.6,78.8,19.3,14.1,18.8,28.9,6.8,2.2,13.8,8.8,11.1,26,19.8,23.9,26.4,26,26.4,9.6,7.6,3,9.3,4.3,8.5,1.9,1,16,3.1,1.3,17.2,4.3,15,40.7,57.9,79,87.3,96.2,40.9,53.1,3.4,69.9,34.8,63.1,76.1,48.8,70.6,6.1,52.5,30.7,34.2
Delhi,81.7,24.6,849,817,86.8,99.8,85.7,74,97.7,98.4,16.4,81.8,89.3,55.4,13,21,1.7,2.3,35,47,53,47.3,19.4,0.2,5.4,3.2,19,15.8,4.9,12.1,43.5,63.3,68.6,89.9,49.9,37.3,87.5,62.6,7.9,8719,2.7,19.6,84.4,56.9,3.9,86.9,23.7,42.9,21,66.4,94.7,77.4,83.7,90.5,59.8,54.2,92.3,7.4,10.6,61.9,25.5,80.9,2.6,81.7,29.1,49.8,45,4.8,9.5,5.8,32.3,17.1,5,27,12.8,17.7,34.9,24.6,62.6,52.8,45.1,52.5,21.6,7.6,4,10,4.3,5.9,1,0.7,3.7,0.4,0.1,26.8,10.2,14.7,32.7,27.4,72.5,83.4,73.8,21,26.8,3.4,35,64.4,66.6,90.2,1.8,30.4,0.7,24.7,31.6,31.8
West Bengal,74,25.4,1011,960,96.9,93.7,94.6,50.9,27.9,94.7,33.4,71,81.1,26.5,40.7,24,1.8,18.3,27,32,70.9,57,29.3,0.1,1.2,20,5.9,7.5,3,12.3,49.8,54.9,76.5,95.4,28.1,21.8,97.4,61.1,28.7,7782,4.6,26.7,75.2,56.6,6.8,81.7,23.8,70.9,18.8,84.4,97.5,87.9,92.7,92.8,86.4,68.4,96.6,3.2,5.9,64.7,20.8,74.7,3.3,73.5,47.5,52.3,52,19.1,25.7,19.6,32.5,20.3,6.5,31.5,21.3,19.9,19.9,14.2,54.2,62.8,53.6,62.5,30.3,7.4,3.5,11.4,5.9,7.8,1.8,0.7,9.9,1.7,0.8,4.1,2.2,3.3,18.6,25.9,53.9,82.6,89.9,22.8,32.8,5,23.8,43.5,41.9,55,8.7,58.8,0.8,28.7,26.1,14.1
Kerala,95.4,20.2,1049,1047,97.7,99.2,94.3,98.1,57.4,98.4,47.7,97.9,98.7,72.2,7.6,2.8,1.6,3,6,7,53.1,50.3,45.8,0.1,1.6,0.2,2.6,13.7,8.3,17,55.6,95.1,90.2,96.5,67.1,61.2,84.2,88.7,20.4,6901,0,49.1,99.9,38.4,0.1,100,35.8,38.6,31.4,82.1,98.1,88.5,90.4,89.4,82.4,74.4,77.6,22.4,3.4,49.4,14.1,76.3,0.8,90.1,64.3,53.3,63.1,21.3,22.3,21.4,19.7,15.7,6.5,16.1,9.7,8.5,32.4,28.5,35.6,34.6,22.6,34.2,11.3,8.7,4.8,13.1,6.3,5.5,0.8,0.5,7.5,1.3,0.7,61.3,33.4,50.8,43.1,50.8,74.2,84.8,92.1,20.4,14.3,1.2,34.9,70.6,81.2,90,0.8,25.7,1.6,37,44.6,22.6
Arunachal Pradesh,67.1,31.7,958,920,62.9,88.7,87.5,61.3,45,99.3,58.3,65.6,84.5,31,23.5,22.6,2.1,10.5,23,33,31.7,26.6,11.2,0,3.4,10.2,1.4,21.6,12.7,12.3,51.2,37,26.8,64.1,8.3,3.6,89.2,28.9,20.5,6474,0.6,8.1,52.3,42.7,2.1,53.8,8.9,37.5,12.5,38.2,70.9,53.7,52.3,54.6,40.9,39.4,93.9,5.5,6.5,66.1,35.8,44.9,2.1,37.5,58.7,56.5,53.6,12.3,25.4,13.9,29.4,17.3,8,19.5,8.5,8.3,18.8,20.6,50.7,40.6,33.8,40.3,16.9,4.8,1.8,7.6,3.3,10.4,2.8,1.8,15.5,3.9,2.2,8.5,5.9,17.5,16,27.4,45.2,64.1,89.1,17.1,30.6,1.5,59.7,56.6,59.8,73.3,17.7,60,26.3,59,18.6,24.9
Goa,85,23.2,1018,966,98.9,99.8,96.3,78.3,84.1,95.7,15.9,89,94.7,58.2,9.8,10.6,1.7,2.9,13,13,26.3,24.8,16.3,0,0.9,0.3,7.1,17.5,8.3,44.2,76,84.4,89,96.2,67.4,63.4,96.3,92.1,7.4,4836,0,49.5,96.9,58.2,1.8,97.5,31.4,51.3,19.9,88.4,100,92.9,94.2,96.5,85.2,89.5,77.2,22.8,3.8,0,0,0,1.4,89,73.3,60.9,0,9.1,15.1,10.4,20.1,21.9,9.5,23.8,14.7,10.8,33.5,32.6,48.3,31.4,26.7,31.3,11,8.9,5.2,12.3,7.3,6.3,1.5,0.7,10.5,2.7,0,49.9,45.1,51.8,34.6,41.9,77.4,89.2,93.8,23.6,12.9,1.6,33.9,82.8,80.9,89.3,1.9,20.8,4.2,44.7,21.9,6.6
Nagaland,81,32,968,956,68.3,97,80.6,75.2,32.8,99.5,6.1,81,85.6,33.3,13.3,7.9,2.7,5.7,29,37,26.7,21.4,9.1,0,6.7,4,1.3,22.2,11.2,6.4,31.9,24.9,15,63.9,4.4,2.4,73.9,22.3,29.7,5834,0.1,1.6,32.8,25.1,8.9,41.3,5.8,31.4,13.5,35.7,68.4,52.5,52,50.4,45.8,27.1,91.7,7.8,5,40.8,16.3,22,1.4,31.3,53.2,44.5,70.7,17.5,21.4,18.6,28.6,11.2,4.2,16.8,12.2,11.5,16.2,14,21.6,23.7,28.9,23.9,10.1,7.2,2.8,9.7,4.7,10.5,3.3,2.2,16.7,5.1,1.3,14.6,2,13.5,12.2,23.9,39.5,63.4,97.4,22.3,12.7,1.5,34.7,38.9,70.5,72.6,27.5,69.4,3.3,39,45.4,41.8
Lakshadweep,90.3,23,1038,922,99,99.9,91.5,99.4,34.8,96.1,3.4,95.7,99.8,57.8,0.9,0,1.8,0,19,23,29.3,14.9,10.3,0,0.6,0,3.8,17.9,13.2,23.3,0,91.9,82.8,94,82.1,66.4,95.9,92.6,17.5,4580,0,56.6,99.9,63.3,0.1,100,37.9,59.1,25.7,86.9,100,90.5,94.2,92.5,86.7,52.3,100,0,5.2,0,0,0,1.1,84.7,54.3,55,0,12.2,0,11.3,27,13.8,3.3,23.4,12.5,7.4,41.4,24.6,51.9,46.1,36.5,45.7,10.7,12,5.2,13.3,5.7,7.4,2.7,0.8,9.1,0,0.8,57.6,27.3,57.3,25.1,37.6,50.8,64.4,80.4,21.7,6,0,41.7,72.6,68,97.1,15,24.3,0,6.8,38.8,22.6
Mizoram,91.2,29.9,1013,946,97.9,95.9,91.5,83.5,66.6,99,45.4,93.5,98.2,40.2,10.8,14.2,2.3,7.2,40,46,35.3,35.3,17.5,0,3.3,13.2,1.3,19.9,12.4,14,52.7,65.7,61.7,82.7,53.8,38.5,96.7,64.7,47.5,4327,2.4,11.1,80.1,63.8,3.8,83.8,12.7,30,12.3,50.5,75.3,61.7,61.7,61.1,56.8,68.6,92.2,7.2,7.6,69.9,29.3,42,2.2,50.4,70.2,60.6,67.9,14.7,13.6,14.6,28,6.1,2.3,11.9,8.3,7.2,21.1,21,17.7,22.4,24.5,22.5,9.6,8.6,3.9,10.3,4.4,7.4,1.8,0.6,12.8,4.5,0.6,20.9,7.5,23,66.4,68.2,91.4,94.2,96,29.3,17,2.1,19.7,57.4,77.3,93.4,59.2,80.4,5,49.6,40.9,41.5
Odisha,67.8,26.6,1036,933,82.1,85.5,88.8,29.4,19.2,93,47.7,67.4,84.3,26.7,21.3,11,2.1,7.6,40,49,57.3,45.4,28.3,0.2,1.1,12,3.4,13.6,4.7,23,61.6,64.1,62,94.5,36.5,23.1,97.2,73.3,72.6,4225,6.9,29.5,85.4,75.9,3.3,86.6,13.8,53.7,11.5,78.6,94.1,82.8,89.2,87.9,83.2,69.1,98.3,1,9.8,68.6,17,68.6,2.4,72.9,68.6,65.6,54.9,8.9,5,8.5,34.1,20.4,6.4,34.4,26.4,19.5,16.5,17.2,44.6,51.2,47.6,51,28.4,7.3,3.4,10.7,5.8,,1.4,0.7,9.7,2,0.8,28.4,6.1,7.1,20.3,32.8,59.4,80.3,81.8,22.5,35.2,3.2,63.5,56.2,39.2,47.4,17.3,55.9,2.4,39.3,17.5,35
